step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
105,5.8559,,349.30,,380799,5507.2,5507.2,220200960,606.6,606.6,2.98e-04,1.2865,bf16,125M,64,32,2048,142461696,1
106,5.8744,,355.82,,382467,5483.2,5483.2,222298112,612.1,612.1,2.98e-04,0.5821,bf16,125M,64,32,2048,142461696,1
107,5.8303,,340.45,,377243,5559.2,5559.2,224395264,617.6,617.6,2.97e-04,0.7773,bf16,125M,64,32,2048,142461696,1
108,5.8526,,348.13,,379033,5532.9,5532.9,226492416,623.2,623.2,2.97e-04,0.5248,bf16,125M,64,32,2048,142461696,1
109,5.8632,,351.84,,379396,5527.6,5527.6,228589568,628.7,628.7,2.97e-04,0.6107,bf16,125M,64,32,2048,142461696,1
110,5.8875,,360.49,,380782,5507.5,5507.5,230686720,634.2,634.2,2.97e-04,0.4045,bf16,125M,64,32,2048,142461696,1
111,5.8597,,350.62,,375547,5584.3,5584.3,232783872,639.8,639.8,2.97e-04,0.5255,bf16,125M,64,32,2048,142461696,1
112,5.8343,,341.82,,378642,5538.6,5538.6,234881024,645.3,645.3,2.97e-04,0.3954,bf16,125M,64,32,2048,142461696,1
113,5.7723,,321.27,,378700,5537.8,5537.8,236978176,650.9,650.9,2.97e-04,0.5907,bf16,125M,64,32,2048,142461696,1
114,5.8245,,338.49,,377820,5550.7,5550.7,239075328,656.4,656.4,2.97e-04,0.4703,bf16,125M,64,32,2048,142461696,1
115,5.7852,,325.45,,371265,5648.7,5648.7,241172480,662.1,662.1,2.97e-04,0.4381,bf16,125M,64,32,2048,142461696,1
116,5.8456,,345.69,,381938,5490.8,5490.8,243269632,667.6,667.6,2.97e-04,0.4544,bf16,125M,64,32,2048,142461696,1
117,5.7934,,328.13,,376364,5572.1,5572.1,245366784,673.1,673.1,2.97e-04,0.3742,bf16,125M,64,32,2048,142461696,1
118,5.8114,,334.07,,383482,5468.7,5468.7,247463936,678.6,678.6,2.97e-04,0.4443,bf16,125M,64,32,2048,142461696,1
119,5.8337,,341.63,,377943,5548.9,5548.9,249561088,684.2,684.1,2.97e-04,0.3589,bf16,125M,64,32,2048,142461696,1
120,5.7829,,324.71,,376527,5569.7,5569.7,251658240,689.7,689.7,2.97e-04,0.5275,bf16,125M,64,32,2048,142461696,1
121,5.7752,,322.21,,378282,5543.9,5543.9,253755392,695.3,695.3,2.97e-04,0.6985,bf16,125M,64,32,2048,142461696,1
122,5.7730,,321.50,,381268,5500.5,5500.5,255852544,700.8,700.8,2.96e-04,0.8117,bf16,125M,64,32,2048,142461696,1
123,5.7479,,313.53,,380799,5507.2,5507.2,257949696,706.3,706.3,2.96e-04,0.5954,bf16,125M,64,32,2048,142461696,1
124,5.8162,,335.68,,380591,5510.2,5510.2,260046848,711.8,711.8,2.96e-04,0.7198,bf16,125M,64,32,2048,142461696,1
125,5.7308,,308.23,,373633,5612.9,5612.9,262144000,717.4,717.4,2.96e-04,0.7258,bf16,125M,64,32,2048,142461696,1
126,5.6957,,297.59,,375430,5586.0,5586.0,264241152,723.0,723.0,2.96e-04,0.4866,bf16,125M,64,32,2048,142461696,1
127,5.7482,,313.63,,384086,5460.1,5460.1,266338304,728.4,728.4,2.96e-04,0.6088,bf16,125M,64,32,2048,142461696,1
128,5.7602,,317.41,,378506,5540.6,5540.6,268435456,734.0,734.0,2.96e-04,0.8405,bf16,125M,64,32,2048,142461696,1
129,5.6165,,274.91,,376850,5565.0,5565.0,270532608,739.5,739.5,2.96e-04,0.8652,bf16,125M,64,32,2048,142461696,1
130,5.6644,,288.42,,381758,5493.4,5493.4,272629760,745.0,745.0,2.96e-04,0.6310,bf16,125M,64,32,2048,142461696,1
131,5.6265,,277.68,,379097,5532.0,5532.0,274726912,750.6,750.6,2.96e-04,0.4739,bf16,125M,64,32,2048,142461696,1
132,5.6361,,280.38,,375244,5588.8,5588.8,276824064,756.2,756.2,2.96e-04,0.5415,bf16,125M,64,32,2048,142461696,1
133,5.6641,,288.32,,382301,5485.6,5485.6,278921216,761.6,761.6,2.96e-04,0.5552,bf16,125M,64,32,2048,142461696,1
134,5.6668,,289.10,,382368,5484.6,5484.6,281018368,767.1,767.1,2.95e-04,0.5032,bf16,125M,64,32,2048,142461696,1
135,5.6130,,273.96,,382518,5482.5,5482.5,283115520,772.6,772.6,2.95e-04,0.4029,bf16,125M,64,32,2048,142461696,1
136,5.6034,,271.35,,375228,5589.0,5589.0,285212672,778.2,778.2,2.95e-04,0.4533,bf16,125M,64,32,2048,142461696,1
137,5.5951,,269.10,,384967,5447.6,5447.6,287309824,783.7,783.6,2.95e-04,0.4168,bf16,125M,64,32,2048,142461696,1
138,5.6239,,276.96,,379683,5523.4,5523.4,289406976,789.2,789.2,2.95e-04,0.3353,bf16,125M,64,32,2048,142461696,1
139,5.5817,,265.51,,376979,5563.0,5563.0,291504128,794.7,794.7,2.95e-04,0.4269,bf16,125M,64,32,2048,142461696,1
140,5.6171,,275.10,,383092,5474.3,5474.3,293601280,800.2,800.2,2.95e-04,0.3887,bf16,125M,64,32,2048,142461696,1
141,5.5272,,251.45,,373371,5616.8,5616.8,295698432,805.8,805.8,2.95e-04,0.5320,bf16,125M,64,32,2048,142461696,1
142,5.6008,,270.63,,377227,5559.4,5559.4,297795584,811.4,811.4,2.95e-04,0.5246,bf16,125M,64,32,2048,142461696,1
143,5.5181,,249.16,,357997,5858.0,5858.0,299892736,817.2,817.2,2.95e-04,0.5091,bf16,125M,64,32,2048,142461696,1
144,5.5866,,266.82,,379715,5523.0,5523.0,301989888,822.8,822.8,2.95e-04,0.5105,bf16,125M,64,32,2048,142461696,1
