step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
110,10.8302,,50525.46,,2896939,181.0,181.0,57671680,52.6,52.6,5.89e-04,0.0402,bf16,125M,32,2,512,143248128,8
111,10.8302,,50525.17,,2803879,187.0,187.0,58195968,52.8,52.8,5.89e-04,0.0399,bf16,125M,32,2,512,143248128,8
112,10.8302,,50525.80,,2898799,180.9,180.9,58720256,53.0,53.0,5.88e-04,0.0402,bf16,125M,32,2,512,143248128,8
113,10.8306,,50545.51,,2884165,181.8,181.8,59244544,53.2,53.2,5.88e-04,0.0400,bf16,125M,32,2,512,143248128,8
114,10.8307,,50549.03,,2888867,181.5,181.5,59768832,53.3,53.3,5.88e-04,0.0405,bf16,125M,32,2,512,143248128,8
115,10.8312,,50572.51,,2850536,183.9,183.9,60293120,53.5,53.5,5.88e-04,0.0405,bf16,125M,32,2,512,143248128,8
116,10.8311,,50567.69,,2902974,180.6,180.6,60817408,53.7,53.7,5.87e-04,0.0405,bf16,125M,32,2,512,143248128,8
117,10.8304,,50535.10,,2863998,183.1,183.1,61341696,53.9,53.9,5.87e-04,0.0402,bf16,125M,32,2,512,143248128,8
118,10.8303,,50526.52,,2886088,181.7,181.7,61865984,54.1,54.1,5.87e-04,0.0402,bf16,125M,32,2,512,143248128,8
119,10.8301,,50516.79,,2889615,181.4,181.4,62390272,54.3,54.3,5.87e-04,0.0402,bf16,125M,32,2,512,143248128,8
120,10.8301,,50517.36,,2898853,180.9,180.9,62914560,54.4,54.4,5.86e-04,0.0399,bf16,125M,32,2,512,143248128,8
121,10.8302,,50521.84,,2904638,180.5,180.5,63438848,54.6,54.6,5.86e-04,0.0399,bf16,125M,32,2,512,143248128,8
122,10.8306,,50545.56,,2895135,181.1,181.1,63963136,54.8,54.8,5.86e-04,0.0404,bf16,125M,32,2,512,143248128,8
123,10.8309,,50561.03,,2893124,181.2,181.2,64487424,55.0,55.0,5.85e-04,0.0404,bf16,125M,32,2,512,143248128,8
124,10.8311,,50566.82,,2900283,180.8,180.8,65011712,55.2,55.2,5.85e-04,0.0407,bf16,125M,32,2,512,143248128,8
