step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
53,10.9205,,55297.90,,66247,989.3,989.3,3473408,132.3,132.3,5.98e-04,0.1997,fp8_tensorwise,1.5B,32,2,64,1564837888,1
54,10.9205,,55297.35,,66594,984.1,984.1,3538944,133.3,133.3,5.98e-04,0.2005,fp8_tensorwise,1.5B,32,2,64,1564837888,1
55,10.9255,,55574.24,,66417,986.7,986.7,3604480,134.3,134.3,5.98e-04,0.2008,fp8_tensorwise,1.5B,32,2,64,1564837888,1
56,10.9284,,55739.29,,66325,988.1,988.1,3670016,135.2,135.2,5.98e-04,0.2022,fp8_tensorwise,1.5B,32,2,64,1564837888,1
57,10.9334,,56017.44,,66205,989.9,989.9,3735552,136.2,136.2,5.98e-04,0.2026,fp8_tensorwise,1.5B,32,2,64,1564837888,1
58,10.9251,,55552.81,,66271,988.9,988.9,3801088,137.2,137.2,5.98e-04,0.2015,fp8_tensorwise,1.5B,32,2,64,1564837888,1
59,10.9243,,55510.47,,65851,995.2,995.2,3866624,138.2,138.2,5.98e-04,0.2003,fp8_tensorwise,1.5B,32,2,64,1564837888,1
60,10.9223,,55397.95,,66178,990.3,990.3,3932160,139.2,139.2,5.98e-04,0.2000,fp8_tensorwise,1.5B,32,2,64,1564837888,1
61,10.9192,,55226.75,,66151,990.7,990.7,3997696,140.2,140.2,5.98e-04,0.1998,fp8_tensorwise,1.5B,32,2,64,1564837888,1
62,10.9189,,55207.40,,66272,988.9,988.9,4063232,141.2,141.2,5.98e-04,0.1985,fp8_tensorwise,1.5B,32,2,64,1564837888,1
63,10.9203,,55286.04,,66202,989.9,989.9,4128768,142.2,142.2,5.97e-04,0.1993,fp8_tensorwise,1.5B,32,2,64,1564837888,1
64,10.9188,,55201.95,,66301,988.5,988.5,4194304,143.2,143.2,5.97e-04,0.1991,fp8_tensorwise,1.5B,32,2,64,1564837888,1
65,10.9185,,55190.48,,66199,990.0,990.0,4259840,144.2,144.2,5.97e-04,0.1980,fp8_tensorwise,1.5B,32,2,64,1564837888,1
