step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
64,7.7738,,2377.55,,4583,7150.3,7150.3,2097152,460.0,460.0,1.92e-04,1.0786,bf16,1.5B,32,1564837888
65,7.7834,,2400.38,,4587,7143.3,7143.3,2129920,467.2,467.1,1.95e-04,1.2207,bf16,1.5B,32,1564837888
66,7.8119,,2469.89,,4582,7151.9,7151.9,2162688,474.3,474.3,1.98e-04,1.2680,bf16,1.5B,32,1564837888
67,7.7210,,2255.20,,4600,7123.9,7123.9,2195456,481.4,481.4,2.01e-04,0.8013,bf16,1.5B,32,1564837888
68,7.7312,,2278.27,,4568,7174.1,7174.1,2228224,488.6,488.6,2.04e-04,0.7243,bf16,1.5B,32,1564837888
69,7.6768,,2157.80,,4596,7129.8,7129.8,2260992,495.7,495.7,2.07e-04,0.8317,bf16,1.5B,32,1564837888
70,7.7358,,2288.80,,4610,7108.0,7108.0,2293760,502.8,502.8,2.10e-04,0.7153,bf16,1.5B,32,1564837888
71,8.0168,,3031.36,,4567,7174.7,7174.7,2326528,510.0,510.0,2.13e-04,0.9400,bf16,1.5B,32,1564837888
72,7.7606,,2346.38,,4605,7115.2,7115.2,2359296,517.1,517.1,2.16e-04,0.6957,bf16,1.5B,32,1564837888
73,7.5671,,1933.60,,4589,7140.8,7140.8,2392064,524.3,524.3,2.19e-04,0.9991,bf16,1.5B,32,1564837888
74,7.5491,,1899.05,,4597,7127.8,7127.8,2424832,531.4,531.4,2.22e-04,0.7255,bf16,1.5B,32,1564837888
75,7.7832,,2399.90,,4594,7132.4,7132.4,2457600,538.5,538.5,2.25e-04,1.2374,bf16,1.5B,32,1564837888
76,7.7032,,2215.45,,4578,7157.9,7157.9,2490368,545.7,545.7,2.28e-04,1.3785,bf16,1.5B,32,1564837888
77,7.8397,,2539.51,,4603,7119.5,7119.5,2523136,552.8,552.8,2.31e-04,1.0522,bf16,1.5B,32,1564837888
78,7.7698,,2368.08,,4598,7126.7,7126.7,2555904,559.9,559.9,2.34e-04,0.7270,bf16,1.5B,32,1564837888
79,7.6512,,2103.18,,4601,7121.9,7121.9,2588672,567.1,567.0,2.37e-04,1.3667,bf16,1.5B,32,1564837888
80,7.6814,,2167.75,,4585,7146.4,7146.4,2621440,574.2,574.2,2.40e-04,1.2338,bf16,1.5B,32,1564837888
81,7.5521,,1904.72,,4589,7140.0,7140.0,2654208,581.4,581.3,2.43e-04,1.0970,bf16,1.5B,32,1564837888
82,7.6900,,2186.27,,4561,7184.5,7184.5,2686976,588.5,588.5,2.46e-04,0.7843,bf16,1.5B,32,1564837888
83,7.7673,,2362.02,,4594,7133.0,7133.0,2719744,595.7,595.6,2.49e-04,1.4580,bf16,1.5B,32,1564837888
84,7.5684,,1936.00,,4603,7119.6,7119.6,2752512,602.8,602.8,2.52e-04,0.8081,bf16,1.5B,32,1564837888
85,7.6499,,2100.36,,4587,7143.2,7143.2,2785280,609.9,609.9,2.55e-04,0.5635,bf16,1.5B,32,1564837888
