step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
57,7.1529,,1277.86,,293500,6698.7,6698.7,112066560,397.9,397.9,3.00e-04,0.4513,fp8_tensorwise,250M,80,24,1920,265450496
58,7.1629,,1290.71,,293174,6706.2,6706.2,114032640,404.6,404.6,3.00e-04,0.6044,fp8_tensorwise,250M,80,24,1920,265450496
59,7.1785,,1311.00,,292860,6713.4,6713.4,115998720,411.4,411.4,3.00e-04,0.9897,fp8_tensorwise,250M,80,24,1920,265450496
60,7.1571,,1283.23,,293200,6705.6,6705.6,117964800,418.1,418.1,3.00e-04,0.5986,fp8_tensorwise,250M,80,24,1920,265450496
61,7.1184,,1234.54,,292578,6719.8,6719.8,119930880,424.8,424.8,3.00e-04,0.9736,fp8_tensorwise,250M,80,24,1920,265450496
62,7.1295,,1248.21,,292980,6710.6,6710.6,121896960,431.5,431.5,3.00e-04,0.8873,fp8_tensorwise,250M,80,24,1920,265450496
63,7.1089,,1222.84,,293257,6704.3,6704.3,123863040,438.2,438.2,3.00e-04,0.4907,fp8_tensorwise,250M,80,24,1920,265450496
64,7.0785,,1186.23,,292970,6710.9,6710.9,125829120,444.9,444.9,3.00e-04,0.8638,fp8_tensorwise,250M,80,24,1920,265450496
65,7.0273,,1127.00,,293009,6710.0,6710.0,127795200,451.6,451.6,3.00e-04,0.9835,fp8_tensorwise,250M,80,24,1920,265450496
66,7.0219,,1120.90,,293209,6705.4,6705.4,129761280,458.3,458.3,3.00e-04,0.5097,fp8_tensorwise,250M,80,24,1920,265450496
67,6.9523,,1045.55,,293310,6703.1,6703.1,131727360,465.0,465.0,3.00e-04,0.7924,fp8_tensorwise,250M,80,24,1920,265450496
68,7.0073,,1104.64,,293461,6699.6,6699.6,133693440,471.7,471.7,3.00e-04,0.4769,fp8_tensorwise,250M,80,24,1920,265450496
69,6.9903,,1086.01,,293709,6694.0,6694.0,135659520,478.4,478.4,3.00e-04,0.7881,fp8_tensorwise,250M,80,24,1920,265450496
70,7.0062,,1103.41,,293101,6707.9,6707.9,137625600,485.1,485.1,3.00e-04,2.2984,fp8_tensorwise,250M,80,24,1920,265450496
71,6.9088,,1001.09,,292795,6714.9,6714.9,139591680,491.8,491.8,3.00e-04,1.2674,fp8_tensorwise,250M,80,24,1920,265450496
72,7.1966,,1334.93,,293023,6709.6,6709.6,141557760,498.6,498.6,3.00e-04,4.4414,fp8_tensorwise,250M,80,24,1920,265450496
73,7.1177,,1233.60,,293198,6705.6,6705.6,143523840,505.3,505.3,3.00e-04,4.2630,fp8_tensorwise,250M,80,24,1920,265450496
74,6.9243,,1016.69,,293028,6709.5,6709.5,145489920,512.0,512.0,3.00e-04,1.2101,fp8_tensorwise,250M,80,24,1920,265450496
75,7.0747,,1181.67,,292855,6713.5,6713.5,147456000,518.7,518.7,3.00e-04,2.4951,fp8_tensorwise,250M,80,24,1920,265450496
76,7.0874,,1196.76,,292538,6720.8,6720.8,149422080,525.4,525.4,3.00e-04,3.3536,fp8_tensorwise,250M,80,24,1920,265450496
77,7.0032,,1100.20,,292851,6713.6,6713.6,151388160,532.1,532.1,3.00e-04,2.2583,fp8_tensorwise,250M,80,24,1920,265450496
78,6.9482,,1041.23,,293135,6707.1,6707.1,153354240,538.8,538.8,3.00e-04,1.6883,fp8_tensorwise,250M,80,24,1920,265450496
79,6.9589,,1052.47,,293308,6703.1,6703.1,155320320,545.5,545.5,3.00e-04,2.5605,fp8_tensorwise,250M,80,24,1920,265450496
80,6.8972,,989.48,,292897,6712.5,6712.5,157286400,552.2,552.2,3.00e-04,0.7715,fp8_tensorwise,250M,80,24,1920,265450496
