step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
56,7.0544,,1157.98,,6240,5251.7,5251.7,1835008,315.6,315.6,1.68e-04,1.5606,fp8_tensorwise,1.5B,32,1564837888
57,7.2175,,1363.02,,6181,5301.1,5301.1,1867776,320.9,320.9,1.71e-04,1.0610,fp8_tensorwise,1.5B,32,1564837888
58,6.9975,,1093.94,,6244,5247.6,5247.6,1900544,326.2,326.1,1.74e-04,1.8734,fp8_tensorwise,1.5B,32,1564837888
59,7.1916,,1328.18,,6208,5278.2,5278.2,1933312,331.4,331.4,1.77e-04,0.9149,fp8_tensorwise,1.5B,32,1564837888
60,7.3216,,1512.65,,6227,5262.3,5262.3,1966080,336.7,336.7,1.80e-04,1.4949,fp8_tensorwise,1.5B,32,1564837888
61,7.1605,,1287.60,,6222,5266.9,5266.9,1998848,342.0,341.9,1.83e-04,1.3869,fp8_tensorwise,1.5B,32,1564837888
62,7.5092,,1824.80,,6222,5266.1,5266.1,2031616,347.2,347.2,1.86e-04,1.7784,fp8_tensorwise,1.5B,32,1564837888
63,7.0593,,1163.59,,6212,5274.7,5274.7,2064384,352.5,352.5,1.89e-04,2.4191,fp8_tensorwise,1.5B,32,1564837888
64,7.1755,,1306.99,,6214,5273.2,5273.2,2097152,357.8,357.8,1.92e-04,1.6027,fp8_tensorwise,1.5B,32,1564837888
65,7.1533,,1278.37,,6254,5239.2,5239.2,2129920,363.0,363.0,1.95e-04,1.5271,fp8_tensorwise,1.5B,32,1564837888
66,7.2180,,1363.82,,6247,5245.1,5245.1,2162688,368.3,368.2,1.98e-04,1.1384,fp8_tensorwise,1.5B,32,1564837888
67,7.1023,,1214.75,,6263,5231.7,5231.7,2195456,373.5,373.5,2.01e-04,2.3999,fp8_tensorwise,1.5B,32,1564837888
68,7.0980,,1209.52,,6247,5245.1,5245.1,2228224,378.8,378.7,2.04e-04,1.8360,fp8_tensorwise,1.5B,32,1564837888
69,6.9686,,1062.74,,6260,5234.7,5234.7,2260992,384.0,383.9,2.07e-04,1.5614,fp8_tensorwise,1.5B,32,1564837888
70,7.0469,,1149.27,,6253,5240.0,5240.0,2293760,389.2,389.2,2.10e-04,1.1011,fp8_tensorwise,1.5B,32,1564837888
71,7.3589,,1570.03,,6178,5303.9,5303.9,2326528,394.5,394.5,2.13e-04,1.1089,fp8_tensorwise,1.5B,32,1564837888
72,7.0780,,1185.63,,6229,5260.2,5260.2,2359296,399.8,399.8,2.16e-04,1.1316,fp8_tensorwise,1.5B,32,1564837888
73,6.7266,,834.34,,6226,5263.2,5263.2,2392064,405.1,405.0,2.19e-04,2.1737,fp8_tensorwise,1.5B,32,1564837888
74,6.7624,,864.74,,6220,5268.1,5268.1,2424832,410.3,410.3,2.22e-04,1.1047,fp8_tensorwise,1.5B,32,1564837888
75,7.0426,,1144.31,,6222,5266.5,5266.5,2457600,415.6,415.5,2.25e-04,1.1736,fp8_tensorwise,1.5B,32,1564837888
76,6.8967,,989.05,,6226,5262.8,5262.8,2490368,420.9,420.8,2.28e-04,1.2053,fp8_tensorwise,1.5B,32,1564837888
77,7.0701,,1176.23,,6244,5247.9,5247.9,2523136,426.1,426.1,2.31e-04,1.7595,fp8_tensorwise,1.5B,32,1564837888
78,6.9833,,1078.49,,6261,5233.8,5233.8,2555904,431.3,431.3,2.34e-04,1.3872,fp8_tensorwise,1.5B,32,1564837888
79,6.7964,,894.61,,6270,5226.0,5226.0,2588672,436.6,436.5,2.37e-04,1.3076,fp8_tensorwise,1.5B,32,1564837888
80,6.8609,,954.21,,6245,5247.0,5247.0,2621440,441.8,441.8,2.40e-04,1.3155,fp8_tensorwise,1.5B,32,1564837888
81,6.7119,,822.10,,6250,5242.7,5242.7,2654208,447.1,447.0,2.43e-04,1.5286,fp8_tensorwise,1.5B,32,1564837888
82,6.8640,,957.18,,6222,5266.6,5266.6,2686976,452.3,452.3,2.46e-04,1.2862,fp8_tensorwise,1.5B,32,1564837888
83,6.8847,,977.17,,6185,5298.0,5298.0,2719744,457.6,457.6,2.49e-04,1.7974,fp8_tensorwise,1.5B,32,1564837888
84,6.7064,,817.63,,6233,5257.0,5257.0,2752512,462.9,462.8,2.52e-04,1.1950,fp8_tensorwise,1.5B,32,1564837888
85,6.7449,,849.72,,6233,5257.2,5257.2,2785280,468.1,468.1,2.55e-04,1.3364,fp8_tensorwise,1.5B,32,1564837888
86,6.9449,,1037.81,,6212,5274.9,5274.9,2818048,473.4,473.4,2.58e-04,1.1986,fp8_tensorwise,1.5B,32,1564837888
87,6.7277,,835.24,,6187,5296.2,5296.2,2850816,478.7,478.7,2.61e-04,1.0902,fp8_tensorwise,1.5B,32,1564837888
88,6.8543,,947.98,,6225,5264.0,5264.0,2883584,484.0,483.9,2.64e-04,1.5574,fp8_tensorwise,1.5B,32,1564837888
89,6.7215,,830.09,,6200,5284.9,5284.9,2916352,489.3,489.2,2.67e-04,1.0980,fp8_tensorwise,1.5B,32,1564837888
90,6.6686,,787.33,,6199,5285.6,5285.6,2949120,494.5,494.5,2.70e-04,1.0053,fp8_tensorwise,1.5B,32,1564837888
91,6.7219,,830.40,,6203,5282.5,5282.5,2981888,499.8,499.8,2.73e-04,1.4464,fp8_tensorwise,1.5B,32,1564837888
92,6.8786,,971.24,,6239,5252.2,5252.2,3014656,505.1,505.0,2.76e-04,1.3870,fp8_tensorwise,1.5B,32,1564837888
93,6.9864,,1081.84,,6232,5258.2,5258.2,3047424,510.3,510.3,2.79e-04,1.2747,fp8_tensorwise,1.5B,32,1564837888
94,6.8844,,976.94,,6210,5276.8,5276.8,3080192,515.6,515.6,2.82e-04,1.3954,fp8_tensorwise,1.5B,32,1564837888
95,6.9947,,1090.87,,6226,5263.3,5263.3,3112960,520.9,520.8,2.85e-04,0.9859,fp8_tensorwise,1.5B,32,1564837888
96,7.2599,,1422.07,,6233,5256.8,5256.8,3145728,526.1,526.1,2.88e-04,1.8895,fp8_tensorwise,1.5B,32,1564837888
97,6.8994,,991.68,,6202,5283.8,5283.8,3178496,531.4,531.4,2.91e-04,1.7140,fp8_tensorwise,1.5B,32,1564837888
98,6.8038,,901.24,,6193,5291.4,5291.4,3211264,536.7,536.7,2.94e-04,1.4918,fp8_tensorwise,1.5B,32,1564837888
99,6.7852,,884.62,,6226,5263.3,5263.3,3244032,542.0,541.9,2.97e-04,1.4740,fp8_tensorwise,1.5B,32,1564837888
100,6.9319,,1024.43,,6256,5238.0,5238.0,3276800,547.2,547.2,3.00e-04,1.1926,fp8_tensorwise,1.5B,32,1564837888
