step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
106,6.5764,,717.93,,80526,26246.7,26246.7,224034816,2722.9,2710.5,2.97e-04,0.6906,bf16,125M,48,43,2064,143248128
107,6.5949,,731.36,,81449,25949.2,25949.2,226148352,2748.8,2736.4,2.97e-04,0.6233,bf16,125M,48,43,2064,143248128
108,6.5900,,727.80,,81499,25933.4,25933.4,228261888,2774.8,2762.3,2.97e-04,0.6329,bf16,125M,48,43,2064,143248128
109,6.6135,,745.10,,80898,26126.1,26126.1,230375424,2800.9,2788.5,2.97e-04,0.5378,bf16,125M,48,43,2064,143248128
110,6.6344,,760.80,,80494,26257.1,26257.1,232488960,2827.1,2814.7,2.97e-04,0.5299,bf16,125M,48,43,2064,143248128
111,6.5235,,680.97,,80671,26199.6,26199.6,234602496,2853.3,2840.9,2.97e-04,0.5009,bf16,125M,48,43,2064,143248128
112,6.5102,,671.99,,81249,26013.1,26013.1,236716032,2879.4,2866.9,2.97e-04,0.6393,bf16,125M,48,43,2064,143248128
113,6.5195,,678.23,,81532,25922.6,25922.6,238829568,2905.3,2892.9,2.96e-04,0.3816,bf16,125M,48,43,2064,143248128
114,6.5085,,670.81,,80925,26117.3,26117.3,240943104,2931.4,2919.0,2.96e-04,0.4428,bf16,125M,48,43,2064,143248128
115,6.5357,,689.29,,80565,26233.8,26233.8,243056640,2957.6,2945.2,2.96e-04,0.5036,bf16,125M,48,43,2064,143248128
116,6.5256,,682.36,,80544,26240.8,26240.8,245170176,2983.9,2971.4,2.96e-04,0.7712,bf16,125M,48,43,2064,143248128
117,6.5173,,676.78,,80973,26101.7,26101.7,247283712,3010.0,2997.5,2.96e-04,0.7428,bf16,125M,48,43,2064,143248128
118,6.5052,,668.61,,81371,25974.2,25974.2,249397248,3035.9,3023.5,2.96e-04,0.9004,bf16,125M,48,43,2064,143248128
119,6.5063,,669.32,,81106,26059.0,26059.0,251510784,3062.0,3049.6,2.96e-04,0.7600,bf16,125M,48,43,2064,143248128
120,6.4827,,653.70,,80912,26121.4,26121.4,253624320,3088.1,3075.7,2.96e-04,0.5423,bf16,125M,48,43,2064,143248128
121,6.4290,,619.55,,80687,26194.4,26194.4,255737856,3114.3,3101.9,2.96e-04,0.7411,bf16,125M,48,43,2064,143248128
122,6.4342,,622.79,,80454,26270.1,26270.1,257851392,3140.6,3128.2,2.96e-04,0.6246,bf16,125M,48,43,2064,143248128
