step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
126,7.6575,,2116.54,,4728,6930.2,6930.2,4128768,791.4,791.3,3.78e-04,1.9310,fp8_tensorwise,1.5B,32,1564837888
127,7.7969,,2433.11,,3960,8273.9,8273.9,4161536,799.7,799.6,3.81e-04,1.1572,fp8_tensorwise,1.5B,32,1564837888
128,7.6739,,2151.44,,4192,7816.8,7816.8,4194304,807.5,807.4,3.84e-04,1.2668,fp8_tensorwise,1.5B,32,1564837888
129,7.7694,,2367.02,,4499,7282.9,7282.9,4227072,814.8,814.7,3.87e-04,1.2765,fp8_tensorwise,1.5B,32,1564837888
130,7.6950,,2197.25,,3951,8292.6,8292.6,4259840,823.0,823.0,3.90e-04,1.0628,fp8_tensorwise,1.5B,32,1564837888
131,7.7535,,2329.73,,4936,6639.2,6639.2,4292608,829.7,829.6,3.93e-04,1.0696,fp8_tensorwise,1.5B,32,1564837888
132,7.6493,,2099.13,,3967,8260.3,8260.3,4325376,837.9,837.9,3.96e-04,0.9244,fp8_tensorwise,1.5B,32,1564837888
133,7.6611,,2124.15,,4569,7172.3,7172.3,4358144,845.1,845.1,3.99e-04,0.9610,fp8_tensorwise,1.5B,32,1564837888
134,7.5838,,1966.12,,4084,8022.8,8022.8,4390912,853.1,853.1,4.02e-04,1.8059,fp8_tensorwise,1.5B,32,1564837888
135,7.8694,,2616.02,,4204,7795.0,7795.0,4423680,860.9,860.9,4.05e-04,1.6420,fp8_tensorwise,1.5B,32,1564837888
136,7.7082,,2226.57,,4665,7024.2,7024.2,4456448,868.0,867.9,4.08e-04,2.8307,fp8_tensorwise,1.5B,32,1564837888
137,7.7089,,2228.11,,4024,8144.1,8144.1,4489216,876.1,876.1,4.11e-04,2.0662,fp8_tensorwise,1.5B,32,1564837888
138,7.6264,,2051.68,,4897,6691.7,6691.7,4521984,882.8,882.7,4.14e-04,1.4041,fp8_tensorwise,1.5B,32,1564837888
139,7.7820,,2396.96,,3924,8351.2,8351.2,4554752,891.2,891.1,4.17e-04,2.8065,fp8_tensorwise,1.5B,32,1564837888
140,7.5898,,1977.90,,4324,7578.5,7578.5,4587520,898.7,898.7,4.20e-04,1.3666,fp8_tensorwise,1.5B,32,1564837888
141,7.7668,,2360.83,,4292,7634.7,7634.7,4620288,906.4,906.3,4.23e-04,1.3063,fp8_tensorwise,1.5B,32,1564837888
142,7.9178,,2745.80,,3896,8409.8,8409.8,4653056,914.8,914.7,4.26e-04,1.0547,fp8_tensorwise,1.5B,32,1564837888
143,7.8271,,2507.60,,5031,6512.9,6512.9,4685824,921.3,921.2,4.29e-04,1.0575,fp8_tensorwise,1.5B,32,1564837888
144,7.5431,,1887.63,,3976,8241.9,8241.9,4718592,929.5,929.5,4.32e-04,4.3176,fp8_tensorwise,1.5B,32,1564837888
145,7.6336,,2066.38,,4853,6752.1,6752.1,4751360,936.3,936.2,4.35e-04,81.9756,fp8_tensorwise,1.5B,32,1564837888
146,7.6062,,2010.62,,3995,8201.5,8201.5,4784128,944.5,944.4,4.38e-04,2.8491,fp8_tensorwise,1.5B,32,1564837888
147,7.6601,,2122.02,,4290,7637.7,7637.7,4816896,952.1,952.1,4.41e-04,1.6181,fp8_tensorwise,1.5B,32,1564837888
148,7.6837,,2172.67,,4603,7119.5,7119.5,4849664,959.2,959.2,4.44e-04,1.3282,fp8_tensorwise,1.5B,32,1564837888
149,7.5956,,1989.47,,3924,8351.0,8351.0,4882432,967.6,967.5,4.47e-04,1.2152,fp8_tensorwise,1.5B,32,1564837888
150,7.5633,,1926.18,,4965,6600.1,6600.1,4915200,974.2,974.1,4.50e-04,1.4554,fp8_tensorwise,1.5B,32,1564837888
151,7.6488,,2098.17,,3898,8406.6,8406.6,4947968,982.6,982.5,4.53e-04,0.8664,fp8_tensorwise,1.5B,32,1564837888
152,7.6640,,2130.36,,4641,7060.9,7060.9,4980736,989.7,989.6,4.56e-04,0.8132,fp8_tensorwise,1.5B,32,1564837888
153,7.6230,,2044.67,,4139,7916.8,7916.8,5013504,997.6,997.5,4.59e-04,0.8916,fp8_tensorwise,1.5B,32,1564837888
154,7.6183,,2035.06,,4123,7946.8,7946.8,5046272,1005.5,1005.5,4.62e-04,0.8582,fp8_tensorwise,1.5B,32,1564837888
155,7.5075,,1821.56,,4884,6708.6,6708.6,5079040,1012.2,1012.2,4.65e-04,0.9221,fp8_tensorwise,1.5B,32,1564837888
156,7.7128,,2236.75,,3913,8373.3,8373.3,5111808,1020.6,1020.6,4.68e-04,0.8390,fp8_tensorwise,1.5B,32,1564837888
